Feature,Importance
日均余额（港币）_部门_CHD,72
total_sum,64
网点号_部门_CHD,59
fps金额入_部门_CHD,58
total_std,53
fps汇入_部门_CHD,49
total_max,47
总_部门_CHD,46
chats汇出_部门_CHD,35
汇入金额_部门_CHD,33
日均余额（港币）_部门_GBD,30
fps金额出_部门_CHD,30
日均余额（港币）_日期_2024-01,29
汇入金额_部门_GBD,28
汇出金额_部门_CHD,27
网点号_部门_GBD,26
tt汇出_部门_CHD,25
dimension_对手方类型,22
fps金额入_日期_2024-04,22
tt汇入_部门_CHD,22
网点号_部门_CRD,21
chats汇入_部门_GBD,20
汇出金额_部门_CRD,20
网点号_日期_2024-03,19
fps汇出_部门_CHD,18
chats汇入_部门_CHD,18
日均余额（港币）_部门_CRD,17
fps金额入_部门_GBD,16
fps汇入_部门_GBD,16
fps金额入_日期_2024-10,16
tt汇入_部门_GBD,16
汇出金额_日期_2024-08,16
fps金额入_日期_2024-02,16
chats汇出_部门_GBD,15
fps金额入_日期_2024-03,15
fps金额入_日期_2024-11,15
fps金额入_日期_2024-12,15
日均余额（港币）_日期_2024-04,15
网点号_日期_2024-12,14
网点号_日期_2024-07,14
日均余额（港币）_部门_INT,14
总_日期_2024-08,14
汇出金额_日期_2024-10,14
fps金额出_日期_2024-07,14
tt汇入_部门_CRD,14
tt汇出_部门_CRD,14
日均余额（港币）_日期_2024-11,13
chats汇入_部门_CRD,13
总_部门_GBD,13
日均余额（港币）_部门_OTHERS,13
fps金额入_日期_2024-07,13
tt汇出_部门_GBD,12
日均余额（港币）_日期_2024-10,12
fps金额入_日期_2024-09,12
汇入金额_日期_2024-11,12
汇出金额_部门_GBD,12
日均余额（港币）_日期_2024-03,12
日均余额（港币）_日期_2024-08,12
total_mean,12
网点号_日期_2024-09,11
fps金额入_日期_2024-06,11
网点号_日期_2024-01,11
fps金额入_日期_2024-01,11
日均余额（港币）_日期_2024-07,11
fps汇入_部门_CRD,10
total_min,10
汇出金额_日期_2024-07,10
汇入金额_日期_2024-09,10
网点号_日期_2024-08,10
日均余额（港币）_日期_2024-12,10
日均余额（港币）_日期_2024-02,10
fps金额入_日期_2024-08,9
汇入金额_日期_2024-05,9
chats汇出_部门_CRD,9
日均余额（港币）_日期_2024-06,9
网点号_日期_2024-06,9
总_部门_OTHERS,9
汇入金额_部门_CRD,9
日均余额（港币）_日期_2024-05,8
fps汇入_日期_2024-09,8
汇入金额_日期_2024-01,8
汇出金额_日期_2024-12,8
总_日期_2024-11,8
汇入金额_日期_2024-12,8
网点号_部门_INT,8
dimension_部门,8
网点号_日期_2024-05,8
日均余额（港币）_日期_2024-09,8
chats汇出_日期_2024-11,7
fps金额入_日期_2024-05,7
网点号_日期_2024-11,7
网点号_部门_OTHERS,7
工银速汇汇出_部门_CRD,7
网点号_日期_2024-10,7
总_部门_CRD,7
汇出金额_日期_2024-04,7
tt汇出_部门_INT,6
fps汇入_日期_2024-02,6
cips汇出_部门_GBD,6
chats汇入_日期_2024-11,6
fps汇入_日期_2024-11,6
汇入金额_日期_2024-07,6
chats汇出_日期_2024-01,6
网点号_日期_2024-02,6
fps汇出_日期_2024-08,6
tt汇出_日期_2024-12,6
chats汇出_日期_2024-08,6
日期_部门_GBD,6
汇出金额_日期_2024-11,6
网点号_部门_APD,5
汇出金额_日期_2024-02,5
汇出金额_部门_INT,5
chats汇入_日期_2024-04,5
汇入金额_日期_2024-02,5
fps金额出_部门_GBD,5
chats汇出_部门_INT,5
工银速汇汇出_部门_GBD,5
总_日期_2024-01,5
总_日期_2024-09,5
fps金额入_部门_CRD,5
fps汇出_部门_CRD,5
fps汇入_日期_2024-12,5
fps金额出_部门_CRD,4
总_日期_2024-03,4
总_日期_2024-05,4
网点号_日期_2024-04,4
总_日期_2024-07,4
总_部门_INT,4
tt汇入_日期_2024-11,4
fps汇入_日期_2024-03,4
chats汇入_日期_2024-09,4
tt汇入_日期_2024-07,4
总_日期_2024-02,4
汇入金额_日期_2024-06,4
fps汇入_日期_2024-06,4
fps汇入_日期_2024-04,4
chats汇出_部门_APD,4
汇入金额_日期_2024-03,4
汇出金额_日期_2024-09,4
fps汇入_日期_2024-01,3
fps汇出_日期_2024-09,3
fps金额出_日期_2024-08,3
汇入金额_日期_2024-04,3
chats汇入_部门_INT,3
总_日期_2024-06,3
总_日期_2024-04,3
汇入金额_日期_2024-10,3
fps金额出_日期_2024-10,3
tt汇出_日期_2024-01,3
chats汇出_日期_2024-09,3
汇出金额_日期_2024-06,3
汇出金额_日期_2024-01,3
总_日期_2024-12,3
tt汇入_日期_2024-12,3
cips汇出_日期_2024-11,3
汇入金额_部门_INT,2
fps金额出_日期_2024-01,2
日期_部门_APD,2
日期_部门_CHD,2
tt汇入_部门_INT,2
总_日期_2024-10,2
fps汇入_日期_2024-10,2
fps汇入_日期_2024-08,2
fps汇出_部门_GBD,2
tt汇入_日期_2024-09,2
汇出金额_日期_2024-05,2
日期_部门_CRD,2
tt汇出_日期_2024-08,2
cips汇出_日期_2024-09,2
chats汇入_日期_2024-01,2
chats汇出_日期_2024-10,2
cips汇出_部门_CHD,2
fps汇出_日期_2024-01,2
汇出金额_部门_APD,2
汇出金额_日期_2024-03,2
tt汇出_日期_2024-06,2
chats汇入_日期_2024-08,2
汇入金额_部门_APD,1
fps金额出_日期_2024-02,1
工银速汇汇入_部门_CHD,1
cips汇入_部门_CRD,1
cips汇入_部门_GBD,1
fps汇入_日期_2024-05,1
fps汇出_部门_INT,1
fps汇入_日期_2024-07,1
总_部门_APD,1
汇入金额_日期_2024-08,1
chats汇入_日期_2024-10,1
fps汇出_日期_2024-11,1
工银速汇汇出_日期_2024-01,1
工银速汇汇出_日期_2024-11,1
fps汇出_日期_2024-10,1
tt汇出_日期_2024-02,1
fps汇出_日期_2024-07,1
fps汇出_日期_2024-06,1
fps汇出_日期_2024-03,1
tt汇入_日期_2024-06,1
tt汇入_日期_2024-10,1
chats汇入_日期_2024-06,1
chats汇出_日期_2024-05,1
tt汇入_日期_2024-01,1
tt汇入_日期_2024-02,1
tt汇出_日期_2024-09,1
chats汇入_日期_2024-03,1
tt汇入_日期_2024-04,1
chats汇出_日期_2024-07,1
chats汇出_日期_2024-12,1
tt汇入_日期_2024-03,1
value_field_cusno,1
工银速汇汇出_部门_CHD,1
日期_部门_OTHERS,1
日期_部门_INT,1
日均余额（港币）_部门_APD,0
工银速汇汇出_部门_APD,0
工银速汇汇出_部门_INT,0
cusno_渠道_柜面,0
cusno_渠道_清算平台,0
cusno_渠道_网银,0
cusno_渠道_银企,0
belong_brno_渠道_其他,0
belong_brno_部门_INT,0
belong_brno_部门_OTHERS,0
笔数_部门_APD,0
笔数_部门_CHD,0
笔数_部门_CRD,0
笔数_部门_GBD,0
笔数_部门_INT,0
笔数_部门_OTHERS,0
cusno_渠道_其他,0
value_field_网点号,0
chats汇出_日期_2024-02,0
chats汇出_日期_2024-03,0
chats汇出_日期_2024-04,0
chats汇出_日期_2024-06,0
chats汇入_日期_2024-02,0
tt汇出_日期_2024-10,0
tt汇出_日期_2024-11,0
tt汇入_日期_2024-05,0
tt汇入_日期_2024-08,0
chats汇入_日期_2024-05,0
chats汇入_日期_2024-07,0
chats汇入_日期_2024-12,0
cips汇出_日期_2024-01,0
cips汇出_日期_2024-02,0
cips汇出_日期_2024-03,0
cips汇出_日期_2024-04,0
cips汇出_日期_2024-05,0
cips汇出_日期_2024-06,0
cips汇出_日期_2024-07,0
cips汇出_日期_2024-08,0
cips汇出_日期_2024-10,0
cips汇出_日期_2024-12,0
cips汇入_日期_2024-01,0
cips汇入_日期_2024-02,0
cips汇入_日期_2024-03,0
cips汇入_日期_2024-04,0
cips汇入_日期_2024-05,0
cips汇入_日期_2024-06,0
cips汇入_日期_2024-07,0
cips汇入_日期_2024-08,0
cips汇入_日期_2024-09,0
cips汇入_日期_2024-10,0
cips汇入_日期_2024-11,0
工银速汇汇入_日期_2024-04,0
工银速汇汇入_日期_2024-05,0
工银速汇汇入_日期_2024-06,0
工银速汇汇入_日期_2024-07,0
工银速汇汇入_日期_2024-08,0
工银速汇汇入_日期_2024-09,0
工银速汇汇入_日期_2024-10,0
工银速汇汇入_日期_2024-11,0
工银速汇汇入_日期_2024-12,0
tt汇出_日期_2024-03,0
tt汇出_日期_2024-04,0
tt汇出_日期_2024-05,0
tt汇出_日期_2024-07,0
cips汇入_日期_2024-12,0
fps汇出_日期_2024-02,0
fps汇出_日期_2024-04,0
fps汇出_日期_2024-05,0
fps汇出_日期_2024-12,0
工银速汇汇出_日期_2024-02,0
工银速汇汇出_日期_2024-03,0
工银速汇汇出_日期_2024-04,0
工银速汇汇出_日期_2024-05,0
工银速汇汇出_日期_2024-06,0
工银速汇汇出_日期_2024-07,0
工银速汇汇出_日期_2024-08,0
工银速汇汇出_日期_2024-09,0
工银速汇汇出_日期_2024-10,0
工银速汇汇出_日期_2024-12,0
工银速汇汇入_日期_2024-01,0
工银速汇汇入_日期_2024-02,0
工银速汇汇入_日期_2024-03,0
cips汇出_部门_CRD,0
cips汇出_部门_INT,0
cips汇出_部门_OTHERS,0
cips汇入_部门_APD,0
cips汇入_部门_CHD,0
cips汇入_部门_INT,0
cips汇入_部门_OTHERS,0
fps汇出_部门_APD,0
笔数_对手方类型2_self,0
金额（折港币）_对手方类型2_others,0
fps汇出_部门_OTHERS,0
fps汇入_部门_APD,0
fps汇入_部门_INT,0
fps汇入_部门_OTHERS,0
金额（折港币）_对手方类型2_self,0
fps金额出_部门_INT,0
fps金额出_部门_OTHERS,0
fps金额入_部门_APD,0
fps金额入_部门_INT,0
fps金额入_部门_OTHERS,0
cusno_对手方类型_corp,0
cusno_对手方类型_indv,0
笔数_对手方类型_corp,0
笔数_对手方类型_indv,0
金额（折港币）_对手方类型_corp,0
金额（折港币）_对手方类型_indv,0
cusno_对手方类型2_others,0
cusno_对手方类型2_self,0
笔数_对手方类型2_others,0
tt汇入_部门_OTHERS,0
chats汇出_部门_OTHERS,0
chats汇入_部门_APD,0
chats汇入_部门_OTHERS,0
cips汇出_部门_APD,0
fps金额出_日期_2024-03,0
fps金额出_日期_2024-04,0
fps金额出_日期_2024-05,0
fps金额出_日期_2024-06,0
fps金额出_日期_2024-09,0
fps金额出_日期_2024-11,0
工银速汇汇出_部门_OTHERS,0
工银速汇汇入_部门_APD,0
工银速汇汇入_部门_CRD,0
工银速汇汇入_部门_GBD,0
工银速汇汇入_部门_INT,0
工银速汇汇入_部门_OTHERS,0
belong_brno_渠道_柜面,0
belong_brno_渠道_清算平台,0
belong_brno_渠道_网银,0
belong_brno_渠道_银企,0
笔数_渠道_其他,0
笔数_渠道_柜面,0
笔数_渠道_清算平台,0
笔数_渠道_网银,0
笔数_渠道_银企,0
汇出金额_部门_OTHERS,0
汇入金额_部门_OTHERS,0
fps金额出_部门_APD,0
tt汇出_部门_APD,0
tt汇出_部门_OTHERS,0
tt汇入_部门_APD,0
fps金额出_日期_2024-12,0
cusno_部门_APD,0
cusno_部门_CHD,0
cusno_部门_CRD,0
cusno_部门_GBD,0
cusno_部门_INT,0
cusno_部门_OTHERS,0
belong_brno_部门_APD,0
belong_brno_部门_CHD,0
belong_brno_部门_CRD,0
belong_brno_部门_GBD,0
